instance_id,p,best_value,best_bound,optimality_gap,time
1,15,1008645.0,1008223.2252647661,0.000418159744244866,1800.0
1,20,883512.0,880570.6895073337,0.003329112103362854,1800.0
1,25,799679.0,791900.0137742449,0.009727635996137287,1800.0
2,15,1011207.0,1003469.4252722674,0.007651820772336991,1800.0
2,20,874234.0,857758.159447546,0.018846030413429356,1800.0
2,25,792599.0,773316.0,0.024328822014663153,1800.0
3,15,1000128.0,995561.0140888268,0.004566401411792455,1800.0
3,20,869755.0,857004.434859308,0.014659950377625942,1800.0
3,25,789406.0,772417.0904701654,0.02152113048271059,1800.0
4,15,994997.0,993408.2502610736,0.0015967382202422894,1800.0
4,20,880316.0,867342.738203675,0.014737051009325037,1800.0
4,25,812843.0,781758.0692191096,0.038242232240285515,1800.0
5,15,986993.0,986899.6142693098,9.461640628677853e-05,982.0
5,20,867814.0,860988.814397408,0.00786480236847061,1800.0
5,25,779398.0,768666.0,0.013769601666927552,1800.0
6,15,991959.0,991480.6492909928,0.00048222830682239694,1800.0
6,20,873089.0,867393.266799529,0.00652365703893994,1800.0
6,25,793992.0,778281.5478409638,0.019786663038212204,1800.0
7,15,1006821.0,1006509.7175008532,0.0003091736258448763,1800.0
7,20,858639.0,857238.5017033591,0.0016310676508298945,1800.0
7,25,770931.0,766999.0,0.005100326747789361,1800.0
8,15,1003922.0,998352.6903370053,0.005547552163409803,1800.0
8,20,872337.0,859808.584818721,0.01436189818989559,1800.0
8,25,792552.0,771464.4344227831,0.02660716972162951,1800.0
9,15,996161.0,995474.2170137505,0.0006894297068943091,1800.0
9,20,862251.0,860835.7145507509,0.0016413845263723531,1800.0
9,25,798006.0,773701.2104066128,0.030456900817020377,1800.0
10,15,994019.0,993211.705136063,0.0008121523471251123,1800.0
10,20,863976.0,860196.0,0.004375121531153643,1800.0
10,25,775365.0,769292.6297563503,0.007831627999264472,1800.0
11,15,1021405.0,1013990.3864253229,0.0072592297616294685,1800.0
11,20,894819.0,870770.0,0.026875826284421766,1800.0
11,25,812163.0,783790.0,0.03493510539140542,1800.0
12,15,989514.0,988566.8587839716,0.0009571781864919196,1800.0
12,20,872406.0,856127.4850087818,0.01865933406145559,1800.0
12,25,793155.0,770918.4008900931,0.028035628735753965,1800.0
13,15,1001541.0,1000316.9460992378,0.0012221705359663042,1800.0
13,20,876196.0,868166.68273898,0.009163836928061705,1800.0
13,25,794741.0,777041.0,0.02227140665952807,1800.0
14,15,971338.0,971249.2186703657,9.140106701709409e-05,292.0
14,20,859341.0,853969.1180192537,0.006251164532759738,1800.0
14,25,780044.0,765894.6592608083,0.01813915720035247,1800.0
15,15,1001049.0,1000961.0558226136,8.785202061672398e-05,1720.0
15,20,861636.0,855052.626983347,0.007640550089194277,1800.0
15,25,780265.0,761573.1094637413,0.0239558233885394,1800.0
16,15,982103.0,981370.3011403744,0.0007460509331766753,1800.0
16,20,845983.0,842497.5187579338,0.004120036977180687,1800.0
16,25,791452.0,760857.0257867827,0.03865676530379261,1800.0
17,15,1005246.0,1002089.9173794509,0.0031396122148699243,1800.0
17,20,864400.0,862981.5378156067,0.0016409789268779648,1800.0
17,25,794828.0,775195.6010330137,0.024700185407391707,1800.0
18,15,993427.0,992860.5747554732,0.000570172991600612,1800.0
18,20,842339.0,841151.6123881132,0.0014096315282645534,1800.0
18,25,765976.0,758325.2456185003,0.009988242949517634,1800.0
19,15,1005445.0,983112.1885655832,0.02221186781416865,1800.0
19,20,857282.0,841119.6005165883,0.018853072248585283,1800.0
19,25,759936.0,756474.0,0.004555646791308742,1800.0
20,15,985828.0,985106.7584210873,0.0007316099551977745,1800.0
20,20,859102.0,853188.4993864668,0.006883351003179126,1800.0
20,25,773493.0,763028.333603015,0.0135291029097677,1800.0
21,15,992414.0,991077.390505716,0.001346826520266772,1800.0
21,20,873363.0,864736.5367568214,0.009877294141357669,1800.0
21,25,791623.0,780207.1962510389,0.014420758048921106,1800.0
22,15,975448.0,975398.8024302999,5.0435871210022866e-05,309.0
22,20,849131.0,843481.8293437662,0.006652884721243004,1800.0
22,25,777579.0,760937.5915512085,0.02140156620586652,1800.0
23,15,998445.0,998346.6392022233,9.85139870265505e-05,1258.0
23,20,873395.0,865521.0,0.00901539395119047,1800.0
23,25,783043.0,773603.263136833,0.012055196027762236,1800.0
24,15,995368.0,994504.2447221414,0.0008677748107821241,1800.0
24,20,874018.0,860961.2828451467,0.014938727983695162,1800.0
24,25,792368.0,772631.3932333613,0.02490838444591237,1800.0
25,15,1009849.0,1009284.079948342,0.0005594104184466628,1800.0
25,20,889168.0,868634.1223459685,0.023093361045417177,1800.0
25,25,781459.0,771502.33726877,0.012741119791607783,1800.0
