Add,Alloc,B,BestBound,Constraints,Factible,ID,Loc,P,Remove,S,TimeAlloc,TimeLoc,TimeOptim,TotalTimeCons,Unassigned,ValueCons,ValueOptim
2,queue,625,467610.276,6,false,10,pdisp,32,0,78,272,545,1800,817,0,1018277,471810
1,queue,625,466413.292,3,false,11,pdisp,32,0,78,3,0,1800,3,0,1057457,468195
2,queue,625,461040.141,6,false,12,pdisp,32,0,78,1,0,1800,1,0,850585,461823
3,queue,625,468091.441,9,false,13,pdisp,32,0,78,2,1,1800,3,0,869601,468480
2,queue,625,459097.84,6,false,14,pdisp,32,0,78,3,0,1800,3,0,937281,459301
2,queue,625,479672.397,6,false,15,pdisp,32,0,78,2,0,1800,2,0,1018798,483950
1,queue,625,461967.277,3,false,16,pdisp,32,0,78,1,1,1800,2,0,997082,462365
1,queue,625,462126.537,3,false,17,pdisp,32,0,78,1,0,1800,1,0,1049254,462745
2,queue,625,454556.375,6,false,18,pdisp,32,0,78,2,0,1800,2,0,869438,455692
2,queue,625,458774.946,5,false,19,pdisp,32,0,78,3,0,1800,3,0,1105865,461881
2,queue,625,462154.445,6,false,1,pdisp,32,0,78,3,0,1800,3,0,1010074,464274
3,queue,625,464547.884,7,false,20,pdisp,32,0,78,0,0,1800,0,0,1050999,465070
3,queue,625,474267.15,8,false,2,pdisp,32,0,78,1,0,1800,1,0,934009,475106
3,queue,625,451740.158,7,false,3,pdisp,32,0,78,1,0,1800,1,0,963563,451907
3,queue,625,460520.424,7,false,4,pdisp,32,0,78,1,0,1800,1,0,831611,460877
2,queue,625,468298.942,5,false,5,pdisp,32,0,78,3,0,1800,3,0,879831,469190
1,queue,625,490305.188,3,false,6,pdisp,32,0,78,2,0,1800,2,0,1032057,491611
1,queue,625,453366.406,3,false,7,pdisp,32,0,78,2,0,1800,2,0,847047,454550
2,queue,625,460970.188,6,false,8,pdisp,32,0,78,3,0,1800,3,0,781721,462113
1,queue,625,487836.913,3,false,9,pdisp,32,0,78,2,1,1800,3,0,992215,488971
