Instance_ID,p30_Objective,p30_Bound,p30_Gap(%),p30_Runtime(s),p40_Objective,p40_Bound,p40_Gap(%),p40_Runtime(s),p50_Objective,p50_Bound,p50_Gap(%),p50_Runtime(s)
1,1397199.00,1386449.44,0.77,3600.00,1230554.00,1195414.04,2.86,3600.00,1116574.00,1073240.40,3.88,3600.00
2,1462199.00,1379590.36,5.65,3600.00,1246730.00,1194829.80,4.16,3600.00,1141544.00,1072934.18,6.01,3600.00
3,1454508.00,1372961.36,5.61,3600.00,1200371.00,1185153.66,1.27,3600.00,1114119.00,1066611.69,4.26,3602.00
4,1427625.00,1375909.45,3.62,3600.00,1201683.00,1191731.02,0.83,3600.00,1120915.00,1072083.75,4.36,3600.00
5,1398113.00,1388499.59,0.69,3600.00,1260303.00,1205904.48,4.32,3600.00,1133159.00,1081534.48,4.56,3611.00
6,1488254.00,1396358.62,6.17,3600.00,1280467.00,1209319.04,5.56,3600.00,1166752.00,1076044.20,7.77,3600.00
7,1397881.00,1387492.34,0.74,3600.00,1243239.00,1193500.69,4.00,3600.00,1122629.00,1072429.97,4.47,3600.00
8,1417355.00,1381918.07,2.50,3600.00,1250494.00,1195576.40,4.39,3600.00,1100568.00,1071639.92,2.63,3600.00
9,1479495.00,1388431.04,6.16,3600.00,1265844.00,1203118.87,4.96,3600.00,1111371.00,1073816.33,3.38,3600.00
10,1380530.00,1375120.90,0.39,3600.00,1211763.00,1190006.61,1.80,3600.00,1132095.00,1071337.00,5.37,3610.00
11,1417198.00,1402101.06,1.07,3601.00,1297300.00,1208170.13,6.87,3600.00,1115447.00,1080985.12,3.09,3600.00
12,1482386.00,1387980.97,6.37,3600.00,1315597.00,1200607.08,8.74,3600.00,1124503.00,1078374.85,4.10,3600.00
13,1386495.00,1377952.37,0.62,3615.00,1213399.00,1196243.99,1.41,3600.00,1131723.00,1068372.30,5.60,3616.00
14,1435327.00,1392094.59,3.01,3600.00,1237960.00,1206174.40,2.57,3600.00,1151292.00,1079598.34,6.23,3600.00
15,1424104.00,1386580.33,2.63,3600.00,1273136.00,1197057.81,5.98,3600.00,1103528.00,1063421.97,3.63,3600.00
16,1398318.00,1384915.54,0.96,3600.00,1245319.00,1203892.57,3.33,3600.00,1153118.00,1076366.84,6.66,3601.00
17,1371714.00,1370455.56,0.09,3600.00,1231608.00,1193281.08,3.11,3600.00,1097588.00,1075778.70,1.99,3603.00
18,1388627.00,1368511.54,1.45,3600.00,1238006.00,1186201.06,4.18,3600.00,1117526.00,1059191.64,5.22,3602.00
19,1406880.00,1377638.03,2.08,3600.00,1211942.00,1191585.65,1.68,3600.00,1542543.00,1068019.80,30.76,3600.00
20,1446190.00,1377428.14,4.75,3600.00,1235439.00,1184673.22,4.11,3600.00,1111613.00,1060279.68,4.62,3600.00
21,1395506.00,1386719.20,0.63,3600.00,1217371.00,1200657.93,1.37,3600.00,1138489.00,1082501.09,4.92,3600.00
22,1413597.00,1395348.46,1.29,3600.00,1268571.00,1205023.43,5.01,3600.00,1092420.00,1073418.13,1.74,3612.00
23,1397774.00,1393326.51,0.32,3600.00,1230280.00,1199552.42,2.50,3608.00,1114016.00,1078357.71,3.20,3606.00
24,1445798.00,1381170.09,4.47,3600.00,1246899.00,1194288.66,4.22,3600.00,1371400.00,1073272.46,21.74,3600.00
25,1456586.00,1387828.17,4.72,3600.00,1258241.00,1205239.37,4.21,3600.00,1104460.00,1075453.10,2.63,3600.00

STATISTICS BY P VALUE

p = 30
Metric,Average,Min,Max
Objective,1422786.36,1371714.00,1488254.00
Bound,1384111.27,1368511.54,1402101.06
Gap (%),2.67,0.09,6.37
Runtime (s),3600.64,3600.00,3615.00

p = 40
Metric,Average,Min,Max
Objective,1244500.64,1200371.00,1315597.00
Bound,1197488.14,1184673.22,1209319.04
Gap (%),3.74,0.83,8.74
Runtime (s),3600.32,3600.00,3608.00

p = 50
Metric,Average,Min,Max
Objective,1149175.68,1092420.00,1542543.00
Bound,1073002.55,1059191.64,1082501.09
Gap (%),6.11,1.74,30.76
Runtime (s),3602.52,3600.00,3616.00

TOTAL STATISTICS (ALL P VALUES)
Metric,Average,Min,Max
Objective,1272154.23,1092420.00,1542543.00
Bound,1218200.65,1059191.64,1402101.06
Gap (%),4.17,0.09,30.76
Runtime (s),3601.16,3600.00,3616.00

Instance Set Info
Set,BUs,Centers
medium,2000,400
